fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route
LGB7,DLA5,92405,dim1,2021-05-11 05:40:46,2021-05-12 23:59:59,"['r81', 'r105', 'r1191', 'r3060', 'r3260']",
SMF1,DPS1,90065,dim1,2021-05-11 05:40:46,2021-05-12 23:59:59,"['r2229', 'r5500']",
BFL1,DSD1,92037,dim1,2021-05-11 05:40:47,2021-05-12 23:59:59,"['r474', 'r7284']",
PSP1,DLA5,92553,dim1,2021-05-11 05:40:48,2021-05-12 23:59:59,"['r93', 'r2037', 'r3166']",
PSP1,DPS1,91732,dim1,2021-05-11 05:40:52,2021-05-12 23:59:59,"['r2111', 'r5390']",
PSP1,DPS3,91320,dim1,2021-05-11 05:40:58,2021-05-12 23:59:59,"['r2129', 'r6413']",
FAT1,DLA5,92354,dim1,2021-05-11 05:41:03,2021-05-12 23:59:59,"['r108', 'r512', 'r3278']",
LGB6,DLA5,92223,dim1,2021-05-11 05:41:03,2021-05-12 23:59:59,"['r72', 'r1011', 'r2973']",
PSP1,DSD1,92130,dim1,2021-05-11 05:41:05,2021-05-12 23:59:59,"['r94', 'r2173', 'r7333']",
LAS7,DLA5,92223,dim1,2021-05-11 05:41:06,2021-05-12 23:59:59,"['r78', 'r675', 'r3023']",
LGB3,DSD1,92122,dim1,2021-05-11 05:41:07,2021-05-12 23:59:59,"['r0', 'r13', 'r990', 'r7086']",
PSP1,DPS1,90042,dim1,2021-05-11 05:41:09,2021-05-12 23:59:59,"['r2058', 'r5337']",
PSP1,DPS1,90026,dim1,2021-05-11 05:41:12,2021-05-12 23:59:59,"['r2049', 'r5328']",
LGB7,DPS1,90013,dim1,2021-05-11 05:41:21,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1205', 'r5004', 'r5644']",
BFL1,DLA5,92553,dim1,2021-05-11 05:41:27,2021-05-12 23:59:59,"['r90', 'r357', 'r3141']",
TUS2,DLA5,92373,dim1,2021-05-11 05:41:30,2021-05-12 23:59:59,"['r66', 'r2362', 'r2930']",
PSP1,DSD1,92111,dim1,2021-05-11 05:41:33,2021-05-12 23:59:59,"['r94', 'r2162', 'r7322']",
BFL1,DPS1,91105,dim1,2021-05-11 05:41:37,2021-05-12 23:59:59,"['r92', 'r402', 'r5281']",
SMF1,DPS3,91367,dim1,2021-05-11 05:41:37,2021-05-12 23:59:59,"['r2303', 'r6461']",
LAS7,DPS1,91207,dim1,2021-05-11 05:41:41,2021-05-12 23:59:59,"['r80', 'r748', 'r4971']",
LGB7,DLA5,92320,dim1,2021-05-11 05:41:47,2021-05-12 23:59:59,"['r81', 'r105', 'r1181', 'r3050', 'r3250']",
PSP1,DPS3,91362,dim1,2021-05-11 05:42:04,2021-05-12 23:59:59,"['r2133', 'r6417']",
LGB3,DPS3,91307,dim1,2021-05-11 05:42:04,2021-05-12 23:59:59,"['r8', 'r10', 'r70', 'r952', 'r6244']",
TUS2,DPS1,91105,dim1,2021-05-11 05:42:06,2021-05-12 23:59:59,"['r2418', 'r4641']",
PSP1,DLA5,92555,dim1,2021-05-11 05:42:09,2021-05-12 23:59:59,"['r93', 'r2038', 'r3167']",
LGB3,DSD2,92011,dim1,2021-05-11 05:42:09,2021-05-12 23:59:59,"['r1001', 'r7721']",
OAK4,DSD1,92075,dim1,2021-05-11 05:42:16,2021-05-12 23:59:59,"['r103', 'r1484', 'r7226', 'r7406']",
OAK4,DSD1,92037,dim1,2021-05-11 05:42:18,2021-05-12 23:59:59,"['r103', 'r1482', 'r7224', 'r7404']",
FAT1,DLA5,92373,dim1,2021-05-11 05:42:19,2021-05-12 23:59:59,"['r108', 'r514', 'r3280']",
ONT6,DSD1,92126,dim1,2021-05-11 05:42:30,2021-05-12 23:59:59,"['r6', 'r12', 'r97', 'r1833', 'r7359']",
LGB7,DLA5,92583,dim1,2021-05-11 05:42:33,2021-05-12 23:59:59,"['r81', 'r105', 'r1203', 'r3072', 'r3272']",
LGB7,DLA5,92324,dim1,2021-05-11 05:42:34,2021-05-12 23:59:59,"['r81', 'r105', 'r1182', 'r3051', 'r3251']",
OAK4,DLA5,92410,dim1,2021-05-11 05:42:39,2021-05-12 23:59:59,"['r84', 'r102', 'r1362', 'r3088', 'r3238']",
PSP1,DPS3,91301,dim1,2021-05-11 05:42:39,2021-05-12 23:59:59,"['r2126', 'r6410']",
TUS2,DSD1,92130,dim1,2021-05-11 05:42:40,2021-05-12 23:59:59,"['r67', 'r2509', 'r7063']",
FAT1,DPS3,91301,dim1,2021-05-11 05:42:45,2021-05-12 23:59:59,"['r109', 'r614', 'r6515']",
LGB3,DPS1,90022,dim1,2021-05-11 05:42:45,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r872', 'r4687']",
LGB3,DPS1,91732,dim1,2021-05-11 05:42:49,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r935', 'r4750']",
FAT1,DSD2,92054,dim1,2021-05-11 05:42:51,2021-05-12 23:59:59,"['r667', 'r7879']",
SMF1,DPS1,90029,dim1,2021-05-11 05:42:51,2021-05-12 23:59:59,"['r2220', 'r5491']",
LGB3,DLA5,92399,dim1,2021-05-11 05:42:54,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r853', 'r2958']",
OAK4,DSD2,92008,dim1,2021-05-11 05:42:55,2021-05-12 23:59:59,"['r104', 'r1503', 'r7779', 'r7851']",
OAK4,DSD2,92056,dim1,2021-05-11 05:42:56,2021-05-12 23:59:59,"['r104', 'r1508', 'r7784', 'r7856']",
FAT1,DSD2,92058,dim1,2021-05-11 05:42:57,2021-05-12 23:59:59,"['r670', 'r7882']",
FAT1,DPS1,91206,dim1,2021-05-11 05:42:58,2021-05-12 23:59:59,"['r110', 'r579', 'r5770']",
LGB6,DPS1,91203,dim1,2021-05-11 05:43:01,2021-05-12 23:59:59,"['r74', 'r1080', 'r4807']",
ONT6,DPS3,91301,dim1,2021-05-11 05:43:03,2021-05-12 23:59:59,"['r1790', 'r6431']",
ONT2,DSD1,92127,dim1,2021-05-11 05:43:05,2021-05-12 23:59:59,"['r112', 'r1666', 'r7270', 'r7510']",
PSP1,DPS1,91108,dim1,2021-05-11 05:43:06,2021-05-12 23:59:59,"['r2085', 'r5364']",
TUS2,DLA5,92320,dim1,2021-05-11 05:43:06,2021-05-12 23:59:59,"['r66', 'r2357', 'r2925']",
ONT2,DSD1,92117,dim1,2021-05-11 05:43:06,2021-05-12 23:59:59,"['r112', 'r1659', 'r7263', 'r7503']",
LGB7,DLA5,92571,dim1,2021-05-11 05:43:12,2021-05-12 23:59:59,"['r81', 'r105', 'r1201', 'r3070', 'r3270']",
LGB3,DPS1,90041,dim1,2021-05-11 05:43:13,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r881', 'r4696']",
FAT1,DSD2,92058,dim1,2021-05-11 05:43:21,2021-05-12 23:59:59,"['r670', 'r7882']",
TUS2,DLA5,92377,dim1,2021-05-11 05:43:26,2021-05-12 23:59:59,"['r66', 'r2364', 'r2932']",
LAS7,DLA5,92346,dim1,2021-05-11 05:43:26,2021-05-12 23:59:59,"['r78', 'r679', 'r3027']",
PSP1,DPS1,90041,dim1,2021-05-11 05:43:27,2021-05-12 23:59:59,"['r2057', 'r5336']",
BFL1,DPS1,90028,dim1,2021-05-11 05:43:28,2021-05-12 23:59:59,"['r92', 'r371', 'r5250']",
LGB7,DPS3,91367,dim1,2021-05-11 05:43:28,2021-05-12 23:59:59,"['r82', 'r1295', 'r6335', 'r6503']",
PSP1,DSD2,92056,dim1,2021-05-11 05:43:30,2021-05-12 23:59:59,"['r95', 'r2180', 'r7820']",
ONT6,DLA5,92399,dim1,2021-05-11 05:43:32,2021-05-12 23:59:59,"['r96', 'r1693', 'r3183']",
PSP1,DPS1,91101,dim1,2021-05-11 05:43:44,2021-05-12 23:59:59,"['r2079', 'r5358']",
BFL1,DLA5,92374,dim1,2021-05-11 05:43:53,2021-05-12 23:59:59,"['r90', 'r347', 'r3131']",
PHX6,DPS3,91356,dim1,2021-05-11 05:44:03,2021-05-12 23:59:59,"['r1962', 'r6288']",
LGB7,DPS1,90029,dim1,2021-05-11 05:44:06,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1212', 'r5011', 'r5651']",
TUS2,DSD1,92111,dim1,2021-05-11 05:44:07,2021-05-12 23:59:59,"['r67', 'r2498', 'r7052']",
LAS7,DPS1,91011,dim1,2021-05-11 05:44:13,2021-05-12 23:59:59,"['r80', 'r730', 'r4953']",
LAS7,DLA5,92557,dim1,2021-05-11 05:44:14,2021-05-12 23:59:59,"['r78', 'r695', 'r3043']",
TUS2,DSD1,92024,dim1,2021-05-11 05:44:14,2021-05-12 23:59:59,"['r67', 'r2485', 'r7039']",
LAS7,DPS1,91011,dim1,2021-05-11 05:44:15,2021-05-12 23:59:59,"['r80', 'r730', 'r4953']",
TUS2,DLA5,92399,dim1,2021-05-11 05:44:18,2021-05-12 23:59:59,"['r66', 'r2365', 'r2933']",
TUS2,DLA5,92407,dim1,2021-05-11 05:44:22,2021-05-12 23:59:59,"['r66', 'r2368', 'r2936']",
LGB3,DPS3,91302,dim1,2021-05-11 05:44:32,2021-05-12 23:59:59,"['r8', 'r10', 'r70', 'r951', 'r6243']",
LGB3,DPS1,91770,dim1,2021-05-11 05:44:32,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r941', 'r4756']",
BFL1,DLA5,92399,dim1,2021-05-11 05:44:36,2021-05-12 23:59:59,"['r90', 'r349', 'r3133']",
PSP1,DSD1,92007,dim1,2021-05-11 05:44:36,2021-05-12 23:59:59,"['r94', 'r2146', 'r7306']",
SMF1,DSD2,92081,dim1,2021-05-11 05:44:36,2021-05-12 23:59:59,"['r101', 'r2352', 'r7848']",
PSP1,DPS1,90012,dim1,2021-05-11 05:44:36,2021-05-12 23:59:59,"['r2044', 'r5323']",
BFL1,DPS1,90017,dim1,2021-05-11 05:44:39,2021-05-12 23:59:59,"['r92', 'r367', 'r5246']",
LGB3,DPS1,91107,dim1,2021-05-11 05:44:39,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r908', 'r4723']",
LGB3,DPS1,91702,dim1,2021-05-11 05:44:41,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r930', 'r4745']",
ONT2,DPS3,91367,dim1,2021-05-11 05:44:50,2021-05-12 23:59:59,"['r88', 'r1631', 'r6377', 'r6545']",
PSP1,DSD1,92037,dim1,2021-05-11 05:44:51,2021-05-12 23:59:59,"['r94', 'r2154', 'r7314']",
BFL1,DPS1,91776,dim1,2021-05-11 05:44:55,2021-05-12 23:59:59,"['r92', 'r439', 'r5318']",
BFL1,DLA5,92320,dim1,2021-05-11 05:44:55,2021-05-12 23:59:59,"['r90', 'r341', 'r3125']",
TUS2,DPS1,90027,dim1,2021-05-11 05:44:55,2021-05-12 23:59:59,"['r2386', 'r4609']",
LGB7,DLA5,92553,dim1,2021-05-11 05:45:01,2021-05-12 23:59:59,"['r81', 'r105', 'r1197', 'r3066', 'r3266']",
LAS7,DLA5,92354,dim1,2021-05-11 05:45:03,2021-05-12 23:59:59,"['r78', 'r680', 'r3028']",
PSP1,DPS1,91103,dim1,2021-05-11 05:45:05,2021-05-12 23:59:59,"['r2080', 'r5359']",
LAS7,DLA5,92374,dim1,2021-05-11 05:45:06,2021-05-12 23:59:59,"['r78', 'r683', 'r3031']",
PSP1,DPS3,91301,dim1,2021-05-11 05:45:07,2021-05-12 23:59:59,"['r2126', 'r6410']",
PSP1,DSD1,92117,dim1,2021-05-11 05:45:08,2021-05-12 23:59:59,"['r94', 'r2163', 'r7323']",
SMF1,DPS1,91030,dim1,2021-05-11 05:45:11,2021-05-12 23:59:59,"['r2246', 'r5517']",
FAT1,DLA5,92408,dim1,2021-05-11 05:45:13,2021-05-12 23:59:59,"['r108', 'r521', 'r3287']",
TUS2,DLA5,92223,dim1,2021-05-11 05:45:24,2021-05-12 23:59:59,"['r66', 'r2355', 'r2923']",
BFL1,DLA5,92407,dim1,2021-05-11 05:45:24,2021-05-12 23:59:59,"['r90', 'r352', 'r3136']",
OAK4,DPS1,91775,dim1,2021-05-11 05:45:25,2021-05-12 23:59:59,"['r86', 'r1446', 'r5157', 'r5637']",
PHX6,DPS1,90026,dim1,2021-05-11 05:45:27,2021-05-12 23:59:59,"['r1881', 'r4848']",
PSP1,DSD1,92122,dim1,2021-05-11 05:45:38,2021-05-12 23:59:59,"['r94', 'r2166', 'r7326']",
PSP1,DPS1,91104,dim1,2021-05-11 05:45:41,2021-05-12 23:59:59,"['r2081', 'r5360']",
SMF1,DLA5,92377,dim1,2021-05-11 05:45:42,2021-05-12 23:59:59,"['r99', 'r2196', 'r3207']",
TUS2,DLA5,92223,dim1,2021-05-11 05:45:46,2021-05-12 23:59:59,"['r66', 'r2355', 'r2923']",
PSP1,DSD1,92014,dim1,2021-05-11 05:45:47,2021-05-12 23:59:59,"['r94', 'r2148', 'r7308']",
OAK4,DLA5,92405,dim1,2021-05-11 05:45:47,2021-05-12 23:59:59,"['r84', 'r102', 'r1359', 'r3085', 'r3235']",
LGB3,DLA5,92411,dim1,2021-05-11 05:45:51,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r859', 'r2964']",
BFL1,DPS1,91803,dim1,2021-05-11 05:45:55,2021-05-12 23:59:59,"['r92', 'r443', 'r5322']",
LGB3,DLA5,92324,dim1,2021-05-11 05:45:57,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r846', 'r2951']",
PSP1,DPS1,91030,dim1,2021-05-11 05:46:01,2021-05-12 23:59:59,"['r2078', 'r5357']",
BFL1,DPS1,91770,dim1,2021-05-11 05:46:02,2021-05-12 23:59:59,"['r92', 'r437', 'r5316']",
OAK4,DLA5,92411,dim1,2021-05-11 05:46:03,2021-05-12 23:59:59,"['r84', 'r102', 'r1363', 'r3089', 'r3239']",
LGB7,DLA5,92374,dim1,2021-05-11 05:46:05,2021-05-12 23:59:59,"['r81', 'r105', 'r1187', 'r3056', 'r3256']",
LGB3,DPS1,90640,dim1,2021-05-11 05:46:08,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r892', 'r4707']",
LGB3,DLA5,92377,dim1,2021-05-11 05:46:10,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r852', 'r2957']",
OAK4,DPS3,90265,dim1,2021-05-11 05:46:16,2021-05-12 23:59:59,"['r85', 'r1452', 'r6345', 'r6471']",
PSP1,DPS1,91104,dim1,2021-05-11 05:46:20,2021-05-12 23:59:59,"['r2081', 'r5360']",
LAS7,DPS1,91204,dim1,2021-05-11 05:46:23,2021-05-12 23:59:59,"['r80', 'r745', 'r4968']",
PSP1,DPS3,91301,dim1,2021-05-11 05:46:26,2021-05-12 23:59:59,"['r2126', 'r6410']",
PSP1,DPS1,91731,dim1,2021-05-11 05:46:26,2021-05-12 23:59:59,"['r2110', 'r5389']",
TUS2,DPS1,91205,dim1,2021-05-11 05:46:27,2021-05-12 23:59:59,"['r2426', 'r4649']",
ONT6,DPS1,91741,dim1,2021-05-11 05:46:28,2021-05-12 23:59:59,"['r1777', 'r5472']",
ONT2,DLA5,92324,dim1,2021-05-11 05:46:30,2021-05-12 23:59:59,"['r87', 'r111', 'r1518', 'r3101', 'r3301']",
BFL1,DSD1,92122,dim1,2021-05-11 05:46:31,2021-05-12 23:59:59,"['r486', 'r7296']",
LGB7,DPS1,91020,dim1,2021-05-11 05:46:33,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1236', 'r5035', 'r5675']",
LAS7,DPS3,91367,dim1,2021-05-11 05:46:34,2021-05-12 23:59:59,"['r79', 'r791', 'r6314']",
ONT6,DLA5,92404,dim1,2021-05-11 05:46:42,2021-05-12 23:59:59,"['r96', 'r1694', 'r3184']",
BFL1,DPS1,91733,dim1,2021-05-11 05:46:42,2021-05-12 23:59:59,"['r92', 'r432', 'r5311']",
ONT6,DLA5,92571,dim1,2021-05-11 05:46:48,2021-05-12 23:59:59,"['r96', 'r1705', 'r3195']",
TUS2,DPS1,91107,dim1,2021-05-11 05:46:51,2021-05-12 23:59:59,"['r2420', 'r4643']",
TUS2,DPS1,90014,dim1,2021-05-11 05:46:53,2021-05-12 23:59:59,"['r2382', 'r4605']",
PSP1,DPS1,91803,dim1,2021-05-11 05:46:57,2021-05-12 23:59:59,"['r2123', 'r5402']",
BFL1,DPS3,91364,dim1,2021-05-11 05:46:59,2021-05-12 23:59:59,"['r2', 'r15', 'r91', 'r454', 'r6397']",
PHX6,DPS1,91030,dim1,2021-05-11 05:47:00,2021-05-12 23:59:59,"['r1910', 'r4877']",
SMF1,DPS1,91755,dim1,2021-05-11 05:47:01,2021-05-12 23:59:59,"['r2284', 'r5555']",
BFL1,DSD2,92008,dim1,2021-05-11 05:47:02,2021-05-12 23:59:59,"['r495', 'r7803']",
PSP1,DSD1,92126,dim1,2021-05-11 05:47:03,2021-05-12 23:59:59,"['r94', 'r2169', 'r7329']",
FAT1,DSD1,92117,dim1,2021-05-11 05:47:13,2021-05-12 23:59:59,"['r651', 'r7473']",
LGB6,DPS1,90601,dim1,2021-05-11 05:47:13,2021-05-12 23:59:59,"['r74', 'r1055', 'r4782']",
TUS2,DLA5,92555,dim1,2021-05-11 05:47:22,2021-05-12 23:59:59,"['r66', 'r2374', 'r2942']",
BFL1,DPS1,91030,dim1,2021-05-11 05:47:23,2021-05-12 23:59:59,"['r92', 'r398', 'r5277']",
PSP1,DLA5,92571,dim1,2021-05-11 05:47:30,2021-05-12 23:59:59,"['r93', 'r2041', 'r3170']",
PSP1,DPS1,90065,dim1,2021-05-11 05:47:42,2021-05-12 23:59:59,"['r2061', 'r5340']",
LGB3,DPS1,91106,dim1,2021-05-11 05:47:44,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r907', 'r4722']",
LGB3,DPS1,91770,dim1,2021-05-11 05:47:47,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r941', 'r4756']",
PSP1,DPS1,91101,dim1,2021-05-11 05:48:05,2021-05-12 23:59:59,"['r2079', 'r5358']",
PSP1,DSD2,92011,dim1,2021-05-11 05:48:09,2021-05-12 23:59:59,"['r95', 'r2177', 'r7817']",
PSP1,DPS1,91706,dim1,2021-05-11 05:48:10,2021-05-12 23:59:59,"['r2107', 'r5386']",
TUS2,DLA5,92346,dim1,2021-05-11 05:48:16,2021-05-12 23:59:59,"['r66', 'r2359', 'r2927']",
TUS2,DPS1,91007,dim1,2021-05-11 05:48:17,2021-05-12 23:59:59,"['r2407', 'r4630']",
PSP1,DLA5,92374,dim1,2021-05-11 05:48:18,2021-05-12 23:59:59,"['r93', 'r2027', 'r3156']",
FAT1,DPS1,90640,dim1,2021-05-11 05:48:20,2021-05-12 23:59:59,"['r110', 'r556', 'r5747']",
TUS2,DPS1,90026,dim1,2021-05-11 05:48:22,2021-05-12 23:59:59,"['r2385', 'r4608']",
LAS7,DPS1,90640,dim1,2021-05-11 05:48:25,2021-05-12 23:59:59,"['r80', 'r724', 'r4947']",
LAS7,DPS1,91733,dim1,2021-05-11 05:48:26,2021-05-12 23:59:59,"['r80', 'r768', 'r4991']",
OAK4,DSD1,92111,dim1,2021-05-11 05:48:26,2021-05-12 23:59:59,"['r103', 'r1490', 'r7232', 'r7412']",
LGB3,DLA5,92399,dim1,2021-05-11 05:48:34,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r853', 'r2958']",
LAS7,DPS1,91202,dim1,2021-05-11 05:48:40,2021-05-12 23:59:59,"['r80', 'r743', 'r4966']",
BFL1,DPS3,91361,dim1,2021-05-11 05:48:50,2021-05-12 23:59:59,"['r2', 'r15', 'r91', 'r452', 'r6395']",
LGB3,DPS1,91776,dim1,2021-05-11 05:48:52,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r943', 'r4758']",
FAT1,DSD1,92127,dim1,2021-05-11 05:49:00,2021-05-12 23:59:59,"['r658', 'r7480']",
FAT1,DPS3,91301,dim1,2021-05-11 05:49:01,2021-05-12 23:59:59,"['r109', 'r614', 'r6515']",
BFL1,DLA5,92313,dim1,2021-05-11 05:49:06,2021-05-12 23:59:59,"['r90', 'r340', 'r3124']",
BFL1,DSD2,92058,dim1,2021-05-11 05:49:07,2021-05-12 23:59:59,"['r502', 'r7810']",
LGB7,DLA5,92359,dim1,2021-05-11 05:49:08,2021-05-12 23:59:59,"['r81', 'r105', 'r1185', 'r3054', 'r3254']",
PSP1,DPS1,90017,dim1,2021-05-11 05:49:19,2021-05-12 23:59:59,"['r2047', 'r5326']",
SMF1,DPS1,91016,dim1,2021-05-11 05:49:20,2021-05-12 23:59:59,"['r2243', 'r5514']",
SMF1,DLA5,92555,dim1,2021-05-11 05:49:25,2021-05-12 23:59:59,"['r99', 'r2206', 'r3217']",
PSP1,DPS1,91016,dim1,2021-05-11 05:49:25,2021-05-12 23:59:59,"['r2075', 'r5354']",
ONT6,DPS1,91204,dim1,2021-05-11 05:49:32,2021-05-12 23:59:59,"['r1753', 'r5448']",
PSP1,DPS1,91775,dim1,2021-05-11 05:49:33,2021-05-12 23:59:59,"['r2118', 'r5397']",
OAK4,DPS1,91016,dim1,2021-05-11 05:49:36,2021-05-12 23:59:59,"['r86', 'r1403', 'r5114', 'r5594']",
LGB7,DSD1,92129,dim1,2021-05-11 05:49:36,2021-05-12 23:59:59,"['r1', 'r17', 'r106', 'r1332', 'r7212', 'r7452']",
LAS7,DPS1,91203,dim1,2021-05-11 05:49:36,2021-05-12 23:59:59,"['r80', 'r744', 'r4967']",
LAS7,DPS3,90265,dim1,2021-05-11 05:49:47,2021-05-12 23:59:59,"['r79', 'r780', 'r6303']",
TUS2,DLA5,92571,dim1,2021-05-11 05:49:49,2021-05-12 23:59:59,"['r66', 'r2377', 'r2945']",
TUS2,DLA5,92571,dim1,2021-05-11 05:49:50,2021-05-12 23:59:59,"['r66', 'r2377', 'r2945']",
LGB3,DPS1,90012,dim1,2021-05-11 05:50:00,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r868', 'r4683']",
LAS7,DSD2,92008,dim1,2021-05-11 05:50:02,2021-05-12 23:59:59,"['r831', 'r7755']",
PHX6,DLA5,92410,dim1,2021-05-11 05:50:03,2021-05-12 23:59:59,"['r75', 'r1866', 'r3013']",
PSP1,DPS1,90028,dim1,2021-05-11 05:50:04,2021-05-12 23:59:59,"['r2051', 'r5330']",
BFL1,DPS1,90013,dim1,2021-05-11 05:50:05,2021-05-12 23:59:59,"['r92', 'r365', 'r5244']",
PSP1,DPS1,90014,dim1,2021-05-11 05:50:14,2021-05-12 23:59:59,"['r2046', 'r5325']",
LGB3,DLA5,92223,dim1,2021-05-11 05:50:15,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r843', 'r2948']",
PHX6,DSD2,92058,dim1,2021-05-11 05:50:15,2021-05-12 23:59:59,"['r77', 'r2014', 'r7750']",
LAS7,DPS1,91104,dim1,2021-05-11 05:50:27,2021-05-12 23:59:59,"['r80', 'r737', 'r4960']",
LGB3,DPS1,90042,dim1,2021-05-11 05:50:27,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r882', 'r4697']",
OAK4,DPS3,91356,dim1,2021-05-11 05:50:29,2021-05-12 23:59:59,"['r85', 'r1458', 'r6351', 'r6477']",
PSP1,DPS1,90012,dim1,2021-05-11 05:50:32,2021-05-12 23:59:59,"['r2044', 'r5323']",
LGB6,DPS1,91011,dim1,2021-05-11 05:50:37,2021-05-12 23:59:59,"['r74', 'r1066', 'r4793']",
OAK4,DLA5,92555,dim1,2021-05-11 05:50:38,2021-05-12 23:59:59,"['r84', 'r102', 'r1366', 'r3092', 'r3242']",
LAS7,DPS1,90042,dim1,2021-05-11 05:50:38,2021-05-12 23:59:59,"['r80', 'r714', 'r4937']",
LAS7,DPS1,91202,dim1,2021-05-11 05:50:39,2021-05-12 23:59:59,"['r80', 'r743', 'r4966']",
FAT1,DLA5,92555,dim1,2021-05-11 05:50:42,2021-05-12 23:59:59,"['r108', 'r526', 'r3292']",
BFL1,DSD1,92129,dim1,2021-05-11 05:50:44,2021-05-12 23:59:59,"['r492', 'r7302']",
ONT6,DLA5,92374,dim1,2021-05-11 05:50:46,2021-05-12 23:59:59,"['r96', 'r1691', 'r3181']",
TUS2,DPS1,90026,dim1,2021-05-11 05:50:48,2021-05-12 23:59:59,"['r2385', 'r4608']",
LAS7,DSD1,92126,dim1,2021-05-11 05:50:52,2021-05-12 23:59:59,"['r825', 'r7179']",
FAT1,DSD1,92009,dim1,2021-05-11 05:50:54,2021-05-12 23:59:59,"['r635', 'r7457']",
LGB3,DLA5,92507,dim1,2021-05-11 05:50:58,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r860', 'r2965']",
BFL1,DSD1,92127,dim1,2021-05-11 05:50:59,2021-05-12 23:59:59,"['r490', 'r7300']",
LGB7,DPS3,91307,dim1,2021-05-11 05:51:09,2021-05-12 23:59:59,"['r82', 'r1288', 'r6328', 'r6496']",
FAT1,DPS3,91364,dim1,2021-05-11 05:51:13,2021-05-12 23:59:59,"['r109', 'r622', 'r6523']",
LGB3,DLA5,92557,dim1,2021-05-11 05:51:18,2021-05-12 23:59:59,"['r3', 'r16', 'r69', 'r863', 'r2968']",
ONT6,DSD1,92126,dim1,2021-05-11 05:51:23,2021-05-12 23:59:59,"['r6', 'r12', 'r97', 'r1833', 'r7359']",
LGB7,DLA5,92399,dim1,2021-05-11 05:51:26,2021-05-12 23:59:59,"['r81', 'r105', 'r1189', 'r3058', 'r3258']",
LGB7,DPS1,91006,dim1,2021-05-11 05:51:27,2021-05-12 23:59:59,"['r4', 'r9', 'r83', 'r1230', 'r5029', 'r5669']",
BFL1,DSD1,92037,dim1,2021-05-11 05:51:29,2021-05-12 23:59:59,"['r474', 'r7284']",
TUS2,DPS1,91107,dim1,2021-05-11 05:51:31,2021-05-12 23:59:59,"['r2420', 'r4643']",
BFL1,DPS1,91202,dim1,2021-05-11 05:51:36,2021-05-12 23:59:59,"['r92', 'r407', 'r5286']",
PSP1,DSD1,92117,dim1,2021-05-11 05:51:36,2021-05-12 23:59:59,"['r94', 'r2163', 'r7323']",
PSP1,DPS1,90031,dim1,2021-05-11 05:51:42,2021-05-12 23:59:59,"['r2053', 'r5332']",
OAK4,DPS1,91706,dim1,2021-05-11 05:51:46,2021-05-12 23:59:59,"['r86', 'r1435', 'r5146', 'r5626']",
LGB3,DPS1,90042,dim1,2021-05-11 05:51:53,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r882', 'r4697']",
PHX6,DLA5,92411,dim1,2021-05-11 05:51:56,2021-05-12 23:59:59,"['r75', 'r1867', 'r3014']",
PHX6,DLA5,92346,dim1,2021-05-11 05:51:57,2021-05-12 23:59:59,"['r75', 'r1855', 'r3002']",
ONT6,DSD1,92127,dim1,2021-05-11 05:52:04,2021-05-12 23:59:59,"['r6', 'r12', 'r97', 'r1834', 'r7360']",
PSP1,DLA5,92405,dim1,2021-05-11 05:52:04,2021-05-12 23:59:59,"['r93', 'r2031', 'r3160']",
LGB3,DPS1,90012,dim1,2021-05-11 05:52:04,2021-05-12 23:59:59,"['r5', 'r14', 'r71', 'r868', 'r4683']",
LAS7,DSD1,92130,dim1,2021-05-11 05:52:06,2021-05-12 23:59:59,"['r829', 'r7183']",
BFL1,DLA5,92373,dim1,2021-05-11 05:52:08,2021-05-12 23:59:59,"['r90', 'r346', 'r3130']",
OAK4,DSD1,92122,dim1,2021-05-11 05:52:17,2021-05-12 23:59:59,"['r103', 'r1494', 'r7236', 'r7416']",
TUS2,DPS1,91107,dim1,2021-05-11 05:52:17,2021-05-12 23:59:59,"['r2420', 'r4643']",
