fc,ds,zipcode,dimension,arrival,promise,feasible_routes,assigned_route,resource_caps_of_assigned_route,route_cost_map,type,base_cost
BFL1,DPS1,90029,dim1,2021-05-11 04:56:10,2021-05-12 23:59:59,['r47' 'r92' 'r372' 'r4051' 'r5251'],r47,"{'j4': 257, 'j2': 3, 'j22': 102, 'j19': 134}","{'r47': 2.28, 'r92': 2.34, 'r372': 3.07, 'r4051': 3.87, 'r5251': 3.89}",amzl_indirect,1.0
FAT1,DPS1,91006,dim1,2021-05-11 04:56:15,2021-05-12 23:59:59,['r62' 'r110' 'r558' 'r4469' 'r5749'],r110,"{'j57': 3419, 'j62': 518, 'j75': 3629, 'j72': 2660}","{'r62': 3.2, 'r110': 3.24, 'r558': 4.02, 'r4469': 4.64, 'r5749': 4.64}",amzl_indirect,1.0
LAS7,DSD2,92008,dim1,2021-05-11 04:56:28,2021-05-12 23:59:59,['r831' 'r7671' 'r7755'],r7671,"{'j21': 11425, 'j11': 5, 'j22': 101}","{'r831': 4.51, 'r7671': 2.64, 'r7755': 4.52}",ddu,2.64
PSP1,DPS3,91361,dim1,2021-05-11 04:56:32,2021-05-12 23:59:59,['r2132' 'r5954' 'r6416'],r5954,"{'j52': 11206, 'j45': 9, 'j51': 269}","{'r2132': 3.07, 'r5954': 2.53, 'r6416': 3.03}",ddu,2.53
LGB3,DLA5,92553,dim1,2021-05-11 04:56:43,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r861' 'r2716' 'r2966'],r2716,"{'j21': 11424, 'j17': 86, 'j22': 100}","{'r3': 2.22, 'r16': 2.22, 'r39': 2.57, 'r69': 2.22, 'r861': 2.18, 'r2716': 2.11, 'r2966': 2.3}",ddu,2.11
FAT1,DSD1,92127,dim1,2021-05-11 04:56:44,2021-05-12 23:59:59,['r658' 'r7000' 'r7480'],r7480,"{'j74': 11497, 'j62': 517, 'j75': 3628}","{'r658': 4.95, 'r7000': 4.94, 'r7480': 4.94}",ddu,2.74
BFL1,DSD1,92117,dim1,2021-05-11 04:56:46,2021-05-12 23:59:59,['r483' 'r6843' 'r7293'],r483,{},"{'r483': 4.12, 'r6843': 4.15, 'r7293': 4.17}",3p,4.12
PSP1,DPS3,91356,dim1,2021-05-11 04:56:47,2021-05-12 23:59:59,['r2130' 'r5952' 'r6414'],r5952,"{'j52': 11205, 'j45': 8, 'j51': 268}","{'r2130': 2.9, 'r5952': 2.37, 'r6414': 2.87}",ddu,2.37
TUS2,DPS1,90027,dim1,2021-05-11 04:56:51,2021-05-12 23:59:59,['r2386' 'r3809' 'r4609'],r3809,"{'j52': 11204, 'j47': 3, 'j51': 267}","{'r2386': 6.57, 'r3809': 5.71, 'r4609': 6.14}",ddu,2.23
LGB3,DPS1,90022,dim1,2021-05-11 04:57:01,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r872' 'r3887' 'r4687'],r41,"{'j4': 256, 'j17': 85, 'j22': 99, 'j19': 133}","{'r5': 1.23, 'r14': 1.23, 'r41': 1.0, 'r71': 1.23, 'r872': 2.35, 'r3887': 2.51, 'r4687': 2.7}",amzl_indirect,1.0
TUS2,DLA5,92354,dim1,2021-05-11 04:57:08,2021-05-12 23:59:59,['r36' 'r66' 'r2360' 'r2678' 'r2928'],r2678,"{'j52': 11203, 'j47': 2, 'j51': 266}","{'r36': 6.05, 'r66': 5.94, 'r2360': 5.99, 'r2678': 5.9, 'r2928': 6.33}",ddu,2.42
OAK4,DPS1,91030,dim1,2021-05-11 04:57:19,2021-05-12 23:59:59,['r65' 'r86' 'r1406' 'r3757' 'r4557' 'r5117' 'r5597'],r3757,"{'j52': 11202, 'j41': 3, 'j51': 265}","{'r65': 2.93, 'r86': 5.06, 'r1406': 5.1, 'r3757': 2.51, 'r4557': 4.44, 'r5117': 6.53, 'r5597': 5.57}",ddu,2.17
TUS2,DLA5,92571,dim1,2021-05-11 04:57:32,2021-05-12 23:59:59,['r36' 'r66' 'r2377' 'r2695' 'r2945'],r2695,"{'j52': 11201, 'j47': 1, 'j51': 264}","{'r36': 6.05, 'r66': 5.94, 'r2377': 5.92, 'r2695': 5.91, 'r2945': 6.34}",ddu,2.43
LGB3,DPS3,91364,dim1,2021-05-11 04:57:32,2021-05-12 23:59:59,['r8' 'r10' 'r40' 'r70' 'r958' 'r6040' 'r6250'],r40,"{'j5': 52, 'j17': 84, 'j22': 98, 'j20': 26}","{'r8': 1.25, 'r10': 1.25, 'r40': 1.0, 'r70': 1.25, 'r958': 2.61, 'r6040': 2.77, 'r6250': 2.96}",amzl_indirect,1.0
SMF1,DPS1,91106,dim1,2021-05-11 04:57:50,2021-05-12 23:59:59,['r2251' 'r3682' 'r5522'],r5522,"{'j105': 11496, 'j99': 298, 'j104': 3651}","{'r2251': 5.66, 'r3682': 5.64, 'r5522': 5.64}",ddu,2.18
PSP1,DLA5,92557,dim1,2021-05-11 04:57:51,2021-05-12 23:59:59,['r27' 'r93' 'r2039' 'r2618' 'r3168'],r2039,{},"{'r27': 2.57, 'r93': 2.53, 'r2039': 2.14, 'r2618': 2.41, 'r3168': 2.91}",3p,2.14
LGB7,DLA5,92374,dim1,2021-05-11 04:58:01,2021-05-12 23:59:59,['r18' 'r54' 'r81' 'r105' 'r1187' 'r2531' 'r2831' 'r3056' 'r3256'],r1187,{},"{'r18': 3.87, 'r54': 2.57, 'r81': 3.26, 'r105': 2.23, 'r1187': 2.14, 'r2531': 3.35, 'r2831': 2.47, 'r3056': 3.28, 'r3256': 2.67}",3p,2.14
FAT1,DLA5,92223,dim1,2021-05-11 04:58:10,2021-05-12 23:59:59,['r60' 'r108' 'r507' 'r2873' 'r3273'],r108,"{'j56': 1835, 'j62': 516, 'j75': 3627, 'j101': 681}","{'r60': 4.77, 'r108': 4.23, 'r507': 4.46, 'r2873': 4.39, 'r3273': 4.39}",amzl_indirect,1.0
ONT6,DLA5,92346,dim1,2021-05-11 04:58:15,2021-05-12 23:59:59,['r24' 'r96' 'r1687' 'r2577' 'r3177'],r1687,{},"{'r24': 2.57, 'r96': 2.41, 'r1687': 2.17, 'r2577': 2.46, 'r3177': 2.84}",3p,2.17
LAS7,DPS1,91770,dim1,2021-05-11 04:58:24,2021-05-12 23:59:59,['r59' 'r80' 'r773' 'r4436' 'r4996'],r59,"{'j4': 255, 'j11': 4, 'j22': 97, 'j19': 132}","{'r59': 1.0, 'r80': 2.92, 'r773': 4.29, 'r4436': 2.47, 'r4996': 4.35}",amzl_indirect,1.0
BFL1,DSD1,92014,dim1,2021-05-11 04:58:31,2021-05-12 23:59:59,['r468' 'r6828' 'r7278'],r468,{},"{'r468': 4.02, 'r6828': 4.05, 'r7278': 4.07}",3p,4.02
LGB3,DLA5,92407,dim1,2021-05-11 04:58:51,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r856' 'r2711' 'r2961'],r2711,"{'j21': 11423, 'j17': 83, 'j22': 96}","{'r3': 2.22, 'r16': 2.22, 'r39': 2.57, 'r69': 2.22, 'r856': 2.18, 'r2711': 2.1, 'r2961': 2.29}",ddu,2.1
LGB3,DPS1,91007,dim1,2021-05-11 04:58:56,2021-05-12 23:59:59,['r5' 'r14' 'r41' 'r71' 'r895' 'r3910' 'r4710'],r41,"{'j4': 254, 'j17': 82, 'j22': 95, 'j19': 131}","{'r5': 1.23, 'r14': 1.23, 'r41': 1.0, 'r71': 1.23, 'r895': 2.3, 'r3910': 2.45, 'r4710': 2.64}",amzl_indirect,1.0
LGB3,DLA5,92223,dim1,2021-05-11 04:58:58,2021-05-12 23:59:59,['r3' 'r16' 'r39' 'r69' 'r843' 'r2698' 'r2948'],r2698,"{'j21': 11422, 'j17': 81, 'j22': 94}","{'r3': 2.22, 'r16': 2.22, 'r39': 2.57, 'r69': 2.22, 'r843': 2.33, 'r2698': 2.19, 'r2948': 2.38}",ddu,2.19
LAS7,DSD2,92056,dim1,2021-05-11 04:59:10,2021-05-12 23:59:59,['r836' 'r7676' 'r7760'],r7676,"{'j21': 11421, 'j11': 3, 'j22': 93}","{'r836': 4.47, 'r7676': 2.61, 'r7760': 4.49}",ddu,2.61
LAS7,DPS1,91108,dim1,2021-05-11 04:59:19,2021-05-12 23:59:59,['r59' 'r80' 'r741' 'r4404' 'r4964'],r59,"{'j4': 253, 'j11': 2, 'j22': 92, 'j19': 130}","{'r59': 1.0, 'r80': 2.92, 'r741': 4.28, 'r4404': 2.49, 'r4964': 4.37}",amzl_indirect,1.0
BFL1,DSD1,92122,dim1,2021-05-11 04:59:22,2021-05-12 23:59:59,['r486' 'r6846' 'r7296'],r486,{},"{'r486': 4.1, 'r6846': 4.13, 'r7296': 4.15}",3p,4.1
FAT1,DPS3,91302,dim1,2021-05-11 04:59:27,2021-05-12 23:59:59,['r61' 'r109' 'r615' 'r6180' 'r6516'],r109,"{'j58': 728, 'j62': 515, 'j75': 3626, 'j73': 566}","{'r61': 3.2, 'r109': 3.26, 'r615': 3.87, 'r6180': 5.0, 'r6516': 5.0}",amzl_indirect,1.0
FAT1,DPS1,91103,dim1,2021-05-11 04:59:35,2021-05-12 23:59:59,['r62' 'r110' 'r568' 'r4479' 'r5759'],r110,"{'j57': 3418, 'j62': 514, 'j75': 3625, 'j72': 2659}","{'r62': 3.2, 'r110': 3.24, 'r568': 3.96, 'r4479': 4.72, 'r5759': 4.72}",amzl_indirect,1.0
PSP1,DLA5,92399,dim1,2021-05-11 04:59:37,2021-05-12 23:59:59,['r27' 'r93' 'r2029' 'r2608' 'r3158'],r2029,{},"{'r27': 2.57, 'r93': 2.53, 'r2029': 2.08, 'r2608': 2.54, 'r3158': 3.04}",3p,2.08
TUS2,DPS1,90057,dim1,2021-05-11 04:59:42,2021-05-12 23:59:59,['r2395' 'r3818' 'r4618'],r4618,"{'j105': 11495, 'j100': 407, 'j104': 3650}","{'r2395': 6.56, 'r3818': 5.68, 'r4618': 6.11}",ddu,2.2
PSP1,DPS1,91790,dim1,2021-05-11 04:59:53,2021-05-12 23:59:59,['r2121' 'r3640' 'r5400'],r3640,"{'j52': 11200, 'j45': 7, 'j51': 263}","{'r2121': 2.55, 'r3640': 2.1, 'r5400': 2.6}",ddu,2.1
BFL1,DPS1,91105,dim1,2021-05-11 05:00:01,2021-05-12 23:59:59,['r92' 'r402' 'r5281'],r92,"{'j57': 3417, 'j55': 559, 'j75': 3624, 'j72': 2658}","{'r92': 2.34, 'r402': 3.06, 'r5281': 3.82}",amzl_indirect,1.0
PHX6,DPS1,91006,dim1,2021-05-11 05:00:07,2021-05-12 23:59:59,['r1902' 'r4869'],r4869,"{'j105': 11494, 'j97': 191, 'j104': 3649}","{'r1902': 5.39, 'r4869': 5.33}",ddu,2.15
PSP1,DPS1,91010,dim1,2021-05-11 05:00:08,2021-05-12 23:59:59,['r2073' 'r5352'],r2073,{},"{'r2073': 2.57, 'r5352': 2.65}",3p,2.57
BFL1,DSD2,92008,dim1,2021-05-11 05:00:08,2021-05-12 23:59:59,['r495' 'r7803'],r495,{},"{'r495': 3.89, 'r7803': 3.94}",3p,3.89
TUS2,DLA5,92404,dim1,2021-05-11 05:00:11,2021-05-12 23:59:59,['r66' 'r2366' 'r2934'],r66,"{'j56': 1834, 'j100': 406, 'j104': 3648, 'j101': 680}","{'r66': 5.94, 'r2366': 6.02, 'r2934': 6.34}",amzl_indirect,1.0
LGB6,DPS1,91206,dim1,2021-05-11 05:00:12,2021-05-12 23:59:59,['r74' 'r1083' 'r4810'],r74,"{'j57': 3416, 'j77': 60, 'j75': 3623, 'j72': 2657}","{'r74': 2.39, 'r1083': 2.57, 'r4810': 3.91}",amzl_indirect,1.0
BFL1,DSD2,92081,dim1,2021-05-11 05:00:22,2021-05-12 23:59:59,['r504' 'r7812'],r504,{},"{'r504': 3.91, 'r7812': 3.93}",3p,3.91
LAS7,DPS1,90065,dim1,2021-05-11 05:00:27,2021-05-12 23:59:59,['r80' 'r717' 'r4940'],r80,"{'j57': 3415, 'j64': 506, 'j75': 3622, 'j72': 2656}","{'r80': 2.92, 'r717': 4.34, 'r4940': 4.43}",amzl_indirect,1.0
LAS7,DSD1,92026,dim1,2021-05-11 05:00:28,2021-05-12 23:59:59,['r807' 'r7161'],r807,{},"{'r807': 4.43, 'r7161': 4.51}",3p,4.43
SMF1,DPS3,91367,dim1,2021-05-11 05:00:29,2021-05-12 23:59:59,['r2303' 'r6461'],r2303,{},"{'r2303': 5.51, 'r6461': 5.87}",3p,5.51
LGB3,DPS1,91206,dim1,2021-05-11 05:00:31,2021-05-12 23:59:59,['r5' 'r14' 'r71' 'r915' 'r4730'],r14,"{'j57': 3414, 'j66': 188}","{'r5': 1.23, 'r14': 1.23, 'r71': 1.23, 'r915': 2.4, 'r4730': 2.75}",amzl_direct,1.0
FAT1,DPS1,91104,dim1,2021-05-11 05:00:34,2021-05-12 23:59:59,['r110' 'r569' 'r5760'],r110,"{'j57': 3413, 'j62': 513, 'j75': 3621, 'j72': 2655}","{'r110': 3.24, 'r569': 3.97, 'r5760': 4.7}",amzl_indirect,1.0
FAT1,DSD1,92108,dim1,2021-05-11 05:00:34,2021-05-12 23:59:59,['r649' 'r7471'],r649,{},"{'r649': 5.09, 'r7471': 5.11}",3p,5.09
LAS7,DLA5,92582,dim1,2021-05-11 05:00:38,2021-05-12 23:59:59,['r78' 'r698' 'r3046'],r78,"{'j56': 1833, 'j64': 505, 'j75': 3620, 'j101': 679}","{'r78': 3.91, 'r698': 4.03, 'r3046': 4.13}",amzl_indirect,1.0
LGB7,DLA5,92553,dim1,2021-05-11 05:00:39,2021-05-12 23:59:59,['r81' 'r105' 'r1197' 'r3066' 'r3266'],r1197,{},"{'r81': 3.26, 'r105': 2.23, 'r1197': 2.17, 'r3066': 3.34, 'r3266': 2.61}",3p,2.17
PHX6,DSD1,92124,dim1,2021-05-11 05:00:48,2021-05-12 23:59:59,['r76' 'r2000' 'r7148'],r76,"{'j59': 1712, 'j97': 190, 'j104': 3647, 'j102': 1345}","{'r76': 4.18, 'r2000': 4.87, 'r7148': 6.09}",amzl_indirect,1.0
OAK4,DPS3,91307,dim1,2021-05-11 05:00:55,2021-05-12 23:59:59,['r85' 'r1456' 'r6349' 'r6475'],r1456,{},"{'r85': 5.09, 'r1456': 4.9, 'r6349': 6.82, 'r6475': 5.84}",3p,4.9
ONT6,DPS1,91505,dim1,2021-05-11 05:00:57,2021-05-12 23:59:59,['r1762' 'r5457'],r5457,"{'j105': 11493, 'j96': 269, 'j104': 3646}","{'r1762': 2.67, 'r5457': 2.66}",ddu,2.28
ONT2,DPS1,91103,dim1,2021-05-11 05:00:58,2021-05-12 23:59:59,['r89' 'r1576' 'r5199' 'r5839'],r89,"{'j57': 3412, 'j86': 118, 'j75': 3619, 'j72': 2654}","{'r89': 2.5, 'r1576': 2.53, 'r5199': 3.98, 'r5839': 2.57}",amzl_indirect,1.0
LGB3,DPS3,91356,dim1,2021-05-11 05:01:00,2021-05-12 23:59:59,['r8' 'r10' 'r70' 'r954' 'r6246'],r10,"{'j58': 727, 'j67': 30}","{'r8': 1.25, 'r10': 1.25, 'r70': 1.25, 'r954': 2.58, 'r6246': 2.93}",amzl_direct,1.0
BFL1,DSD2,92056,dim1,2021-05-11 05:01:01,2021-05-12 23:59:59,['r500' 'r7808'],r500,{},"{'r500': 3.88, 'r7808': 3.91}",3p,3.88
OAK4,DPS1,90063,dim1,2021-05-11 05:01:06,2021-05-12 23:59:59,['r86' 'r1388' 'r5099' 'r5579'],r86,"{'j57': 3411, 'j84': 135, 'j75': 3618, 'j72': 2653}","{'r86': 5.06, 'r1388': 5.13, 'r5099': 6.55, 'r5579': 5.55}",amzl_indirect,1.0
TUS2,DLA5,92404,dim1,2021-05-11 05:01:06,2021-05-12 23:59:59,['r66' 'r2366' 'r2934'],r66,"{'j56': 1832, 'j100': 405, 'j104': 3645, 'j101': 678}","{'r66': 5.94, 'r2366': 6.02, 'r2934': 6.34}",amzl_indirect,1.0
LGB7,DLA5,92399,dim1,2021-05-11 05:01:14,2021-05-12 23:59:59,['r81' 'r105' 'r1189' 'r3058' 'r3258'],r1189,{},"{'r81': 3.26, 'r105': 2.23, 'r1189': 2.21, 'r3058': 3.36, 'r3258': 2.74}",3p,2.21
LGB3,DPS1,90017,dim1,2021-05-11 05:01:18,2021-05-12 23:59:59,['r5' 'r14' 'r71' 'r871' 'r4686'],r14,"{'j57': 3410, 'j66': 187}","{'r5': 1.23, 'r14': 1.23, 'r71': 1.23, 'r871': 2.41, 'r4686': 2.77}",amzl_direct,1.0
LGB3,DPS1,91801,dim1,2021-05-11 05:01:18,2021-05-12 23:59:59,['r5' 'r14' 'r71' 'r946' 'r4761'],r14,"{'j57': 3409, 'j66': 186}","{'r5': 1.23, 'r14': 1.23, 'r71': 1.23, 'r946': 2.34, 'r4761': 2.69}",amzl_direct,1.0
BFL1,DPS1,91731,dim1,2021-05-11 05:01:20,2021-05-12 23:59:59,['r92' 'r430' 'r5309'],r92,"{'j57': 3408, 'j55': 558, 'j75': 3617, 'j72': 2652}","{'r92': 2.34, 'r430': 3.13, 'r5309': 3.75}",amzl_indirect,1.0
TUS2,DLA5,92411,dim1,2021-05-11 05:01:21,2021-05-12 23:59:59,['r66' 'r2371' 'r2939'],r66,"{'j56': 1831, 'j100': 404, 'j104': 3644, 'j101': 677}","{'r66': 5.94, 'r2371': 6.04, 'r2939': 6.3}",amzl_indirect,1.0
LGB7,DLA5,92557,dim1,2021-05-11 05:01:30,2021-05-12 23:59:59,['r81' 'r105' 'r1199' 'r3068' 'r3268'],r1199,{},"{'r81': 3.26, 'r105': 2.23, 'r1199': 2.15, 'r3068': 3.31, 'r3268': 2.61}",3p,2.15
TUS2,DPS1,91776,dim1,2021-05-11 05:01:31,2021-05-12 23:59:59,['r2455' 'r4678'],r4678,"{'j105': 11492, 'j100': 403, 'j104': 3643}","{'r2455': 6.46, 'r4678': 6.05}",ddu,2.14
OAK4,DSD1,92121,dim1,2021-05-11 05:01:32,2021-05-12 23:59:59,['r103' 'r1493' 'r7235' 'r7415'],r103,"{'j59': 1711, 'j94': 143, 'j104': 3642, 'j102': 1344}","{'r103': 4.4, 'r1493': 6.1, 'r7235': 6.84, 'r7415': 6.23}",amzl_indirect,1.0
FAT1,DLA5,92405,dim1,2021-05-11 05:01:33,2021-05-12 23:59:59,['r108' 'r519' 'r3285'],r108,"{'j56': 1830, 'j62': 512, 'j75': 3616, 'j101': 676}","{'r108': 4.23, 'r519': 4.24, 'r3285': 4.25}",amzl_indirect,1.0
PSP1,DPS1,91722,dim1,2021-05-11 05:01:34,2021-05-12 23:59:59,['r2108' 'r5387'],r2108,{},"{'r2108': 2.53, 'r5387': 2.62}",3p,2.53
ONT2,DSD1,92024,dim1,2021-05-11 05:01:36,2021-05-12 23:59:59,['r112' 'r1645' 'r7249' 'r7489'],r112,"{'j59': 1710, 'j95': 119, 'j104': 3641, 'j102': 1343}","{'r112': 1.37, 'r1645': 2.72, 'r7249': 4.17, 'r7489': 3.09}",amzl_indirect,1.0
TUS2,DLA5,92399,dim1,2021-05-11 05:01:36,2021-05-12 23:59:59,['r66' 'r2365' 'r2933'],r2365,{},"{'r66': 5.94, 'r2365': 5.87, 'r2933': 6.45}",3p,5.87
LAS7,DLA5,92313,dim1,2021-05-11 05:01:41,2021-05-12 23:59:59,['r78' 'r676' 'r3024'],r78,"{'j56': 1829, 'j64': 504, 'j75': 3615, 'j101': 675}","{'r78': 3.91, 'r676': 4.01, 'r3024': 3.93}",amzl_indirect,1.0
PHX6,DSD1,92111,dim1,2021-05-11 05:01:48,2021-05-12 23:59:59,['r76' 'r1994' 'r7142'],r76,"{'j59': 1709, 'j97': 189, 'j104': 3640, 'j102': 1342}","{'r76': 4.18, 'r1994': 4.91, 'r7142': 6.08}",amzl_indirect,1.0
PHX6,DPS1,90027,dim1,2021-05-11 05:01:49,2021-05-12 23:59:59,['r1882' 'r4849'],r4849,"{'j105': 11491, 'j97': 188, 'j104': 3639}","{'r1882': 5.53, 'r4849': 5.41}",ddu,2.23
PSP1,DSD1,92117,dim1,2021-05-11 05:01:49,2021-05-12 23:59:59,['r94' 'r2163' 'r7323'],r94,"{'j59': 1708, 'j98': 908, 'j104': 3638, 'j102': 1341}","{'r94': 1.5, 'r2163': 2.77, 'r7323': 3.38}",amzl_indirect,1.0
LGB7,DLA5,92399,dim1,2021-05-11 05:01:50,2021-05-12 23:59:59,['r81' 'r105' 'r1189' 'r3058' 'r3258'],r1189,{},"{'r81': 3.26, 'r105': 2.23, 'r1189': 2.21, 'r3058': 3.36, 'r3258': 2.74}",3p,2.21
LGB3,DSD1,92108,dim1,2021-05-11 05:01:54,2021-05-12 23:59:59,['r0' 'r13' 'r985' 'r7081'],r13,"{'j59': 1707, 'j68': 60}","{'r0': 2.82, 'r13': 2.82, 'r985': 2.88, 'r7081': 3.1}",amzl_direct,1.0
LAS7,DLA5,92567,dim1,2021-05-11 05:02:09,2021-05-12 23:59:59,['r78' 'r696' 'r3044'],r78,"{'j56': 1828, 'j64': 503, 'j75': 3614, 'j101': 674}","{'r78': 3.91, 'r696': 4.06, 'r3044': 4.08}",amzl_indirect,1.0
FAT1,DLA5,92507,dim1,2021-05-11 05:02:10,2021-05-12 23:59:59,['r108' 'r524' 'r3290'],r108,"{'j56': 1827, 'j62': 511, 'j75': 3613, 'j101': 673}","{'r108': 4.23, 'r524': 4.32, 'r3290': 4.28}",amzl_indirect,1.0
BFL1,DPS1,91780,dim1,2021-05-11 05:02:19,2021-05-12 23:59:59,['r92' 'r440' 'r5319'],r92,"{'j57': 3407, 'j55': 557, 'j75': 3612, 'j72': 2651}","{'r92': 2.34, 'r440': 3.11, 'r5319': 3.76}",amzl_indirect,1.0
PSP1,DPS3,91364,dim1,2021-05-11 05:02:20,2021-05-12 23:59:59,['r2134' 'r6418'],r6418,"{'j105': 11490, 'j98': 907, 'j104': 3637}","{'r2134': 2.93, 'r6418': 2.9}",ddu,2.4
PSP1,DSD1,92122,dim1,2021-05-11 05:02:33,2021-05-12 23:59:59,['r94' 'r2166' 'r7326'],r94,"{'j59': 1706, 'j98': 906, 'j104': 3636, 'j102': 1340}","{'r94': 1.5, 'r2166': 2.75, 'r7326': 3.36}",amzl_indirect,1.0
FAT1,DLA5,92404,dim1,2021-05-11 05:02:35,2021-05-12 23:59:59,['r108' 'r518' 'r3284'],r108,"{'j56': 1826, 'j62': 510, 'j75': 3611, 'j101': 672}","{'r108': 4.23, 'r518': 4.25, 'r3284': 4.25}",amzl_indirect,1.0
SMF1,DPS3,91364,dim1,2021-05-11 05:02:36,2021-05-12 23:59:59,['r2302' 'r6460'],r2302,{},"{'r2302': 5.52, 'r6460': 5.86}",3p,5.52
FAT1,DSD1,92126,dim1,2021-05-11 05:02:42,2021-05-12 23:59:59,['r657' 'r7479'],r657,{},"{'r657': 5.0, 'r7479': 5.01}",3p,5.0
LGB7,DLA5,92507,dim1,2021-05-11 05:02:44,2021-05-12 23:59:59,['r81' 'r105' 'r1196' 'r3065' 'r3265'],r1196,{},"{'r81': 3.26, 'r105': 2.23, 'r1196': 2.11, 'r3065': 3.31, 'r3265': 2.56}",3p,2.11
FAT1,DLA5,92399,dim1,2021-05-11 05:02:46,2021-05-12 23:59:59,['r108' 'r517' 'r3283'],r108,"{'j56': 1825, 'j62': 509, 'j75': 3610, 'j101': 671}","{'r108': 4.23, 'r517': 4.39, 'r3283': 4.33}",amzl_indirect,1.0
FAT1,DPS3,91356,dim1,2021-05-11 05:02:50,2021-05-12 23:59:59,['r109' 'r618' 'r6519'],r109,"{'j58': 726, 'j62': 508, 'j75': 3609, 'j73': 565}","{'r109': 3.26, 'r618': 3.88, 'r6519': 4.94}",amzl_indirect,1.0
ONT6,DPS3,91320,dim1,2021-05-11 05:02:50,2021-05-12 23:59:59,['r1793' 'r6434'],r6434,"{'j105': 11489, 'j96': 268, 'j104': 3635}","{'r1793': 3.01, 'r6434': 2.97}",ddu,2.59
SMF1,DLA5,92373,dim1,2021-05-11 05:02:52,2021-05-12 23:59:59,['r99' 'r2194' 'r3205'],r99,"{'j56': 1824, 'j99': 297, 'j104': 3634, 'j101': 670}","{'r99': 5.49, 'r2194': 6.02, 'r3205': 5.92}",amzl_indirect,1.0
PSP1,DPS1,91206,dim1,2021-05-11 05:02:54,2021-05-12 23:59:59,['r2091' 'r5370'],r5370,"{'j105': 11488, 'j98': 905, 'j104': 3633}","{'r2091': 2.72, 'r5370': 2.72}",ddu,2.22
LGB6,DPS1,91702,dim1,2021-05-11 05:02:57,2021-05-12 23:59:59,['r74' 'r1098' 'r4825'],r74,"{'j57': 3406, 'j77': 59, 'j75': 3608, 'j72': 2650}","{'r74': 2.39, 'r1098': 2.39, 'r4825': 3.72}",amzl_indirect,1.0
TUS2,DLA5,92399,dim1,2021-05-11 05:02:59,2021-05-12 23:59:59,['r66' 'r2365' 'r2933'],r2365,{},"{'r66': 5.94, 'r2365': 5.87, 'r2933': 6.45}",3p,5.87
TUS2,DLA5,92407,dim1,2021-05-11 05:03:00,2021-05-12 23:59:59,['r66' 'r2368' 'r2936'],r66,"{'j56': 1823, 'j100': 402, 'j104': 3632, 'j101': 669}","{'r66': 5.94, 'r2368': 6.08, 'r2936': 6.3}",amzl_indirect,1.0
PSP1,DSD1,92130,dim1,2021-05-11 05:03:05,2021-05-12 23:59:59,['r94' 'r2173' 'r7333'],r94,"{'j59': 1705, 'j98': 904, 'j104': 3631, 'j102': 1339}","{'r94': 1.5, 'r2173': 2.69, 'r7333': 3.3}",amzl_indirect,1.0
TUS2,DLA5,92374,dim1,2021-05-11 05:03:06,2021-05-12 23:59:59,['r66' 'r2363' 'r2931'],r66,"{'j56': 1822, 'j100': 401, 'j104': 3630, 'j101': 668}","{'r66': 5.94, 'r2363': 5.95, 'r2931': 6.38}",amzl_indirect,1.0
LGB7,DLA5,92404,dim1,2021-05-11 05:03:18,2021-05-12 23:59:59,['r81' 'r105' 'r1190' 'r3059' 'r3259'],r1190,{},"{'r81': 3.26, 'r105': 2.23, 'r1190': 2.07, 'r3059': 3.28, 'r3259': 2.63}",3p,2.07
PSP1,DPS1,90039,dim1,2021-05-11 05:03:19,2021-05-12 23:59:59,['r2056' 'r5335'],r5335,"{'j105': 11487, 'j98': 903, 'j104': 3629}","{'r2056': 2.73, 'r5335': 2.71}",ddu,2.21
PSP1,DSD1,92127,dim1,2021-05-11 05:03:22,2021-05-12 23:59:59,['r94' 'r2170' 'r7330'],r94,"{'j59': 1704, 'j98': 902, 'j104': 3628, 'j102': 1338}","{'r94': 1.5, 'r2170': 2.63, 'r7330': 3.29}",amzl_indirect,1.0
PSP1,DPS1,91030,dim1,2021-05-11 05:03:23,2021-05-12 23:59:59,['r2078' 'r5357'],r5357,"{'j105': 11486, 'j98': 901, 'j104': 3627}","{'r2078': 2.67, 'r5357': 2.67}",ddu,2.17
OAK4,DPS1,91801,dim1,2021-05-11 05:03:27,2021-05-12 23:59:59,['r86' 'r1450' 'r5161' 'r5641'],r86,"{'j57': 3405, 'j84': 134, 'j75': 3607, 'j72': 2649}","{'r86': 5.06, 'r1450': 5.12, 'r5161': 6.52, 'r5641': 5.55}",amzl_indirect,1.0
SMF1,DPS1,91006,dim1,2021-05-11 05:03:29,2021-05-12 23:59:59,['r2238' 'r5509'],r5509,"{'j105': 11485, 'j99': 296, 'j104': 3626}","{'r2238': 5.7, 'r5509': 5.61}",ddu,2.15
LAS7,DPS1,91706,dim1,2021-05-11 05:03:42,2021-05-12 23:59:59,['r80' 'r763' 'r4986'],r80,"{'j57': 3404, 'j64': 502, 'j75': 3606, 'j72': 2648}","{'r80': 2.92, 'r763': 4.24, 'r4986': 4.29}",amzl_indirect,1.0
